2020-11-09 20:17:10.271931,T1: Hulksmash1337,10,0.05,Master,74 LP,465W,388L
2020-11-09 20:32:09.849985,T1: Hulksmash1337,10,0.05,Master,55 LP,465W,389L
2020-11-09 21:02:10.704408,T1: Hulksmash1337,10,0.05,Master,55 LP,465W,389L
2020-11-09 21:32:11.693884,T1: Hulksmash1337,10,0.05,Master,36 LP,465W,390L
2020-11-09 22:02:14.116090,T1: Hulksmash1337,10,0.05,Master,18 LP,465W,391L
2020-11-09 22:32:14.770504,T1: Hulksmash1337,10,0.05,Master,0 LP,465W,392L
2020-11-09 23:02:15.323723,T1: Hulksmash1337,10,0.06,Master,0 LP,465W,392L
2020-11-09 23:32:15.898793,T1: Hulksmash1337,10,0.06,Diamond 1,75 LP,465W,393L
2020-11-10 00:02:16.708352,T1: Hulksmash1337,10,0.09,Diamond 1,58 LP,465W,394L
2020-11-10 00:32:17.577360,T1: Hulksmash1337,10,0.09,Diamond 1,76 LP,466W,394L
2020-11-10 01:02:18.260852,T1: Hulksmash1337,10,0.09,Diamond 1,58 LP,466W,395L
2020-11-10 01:32:19.104776,T1: Hulksmash1337,10,0.09,Diamond 1,76 LP,467W,395L
2020-11-10 02:02:19.942892,T1: Hulksmash1337,10,0.09,Diamond 1,76 LP,467W,395L
2020-11-10 02:32:20.585849,T1: Hulksmash1337,10,0.09,Diamond 1,95 LP,468W,395L
2020-11-10 03:02:21.354143,T1: Hulksmash1337,10,0.09,Diamond 1,77 LP,468W,396L
2020-11-10 03:32:22.346623,T1: Hulksmash1337,10,0.09,Diamond 1,77 LP,468W,396L
2020-11-10 04:02:23.197490,T1: Hulksmash1337,10,0.10,Diamond 1,60 LP,468W,397L
2020-11-10 04:32:24.045834,T1: Hulksmash1337,10,0.10,Diamond 1,43 LP,468W,398L
2020-11-10 05:02:24.978644,T1: Hulksmash1337,10,0.11,Diamond 1,43 LP,468W,398L
2020-11-10 05:32:27.392852,T1: Hulksmash1337,10,0.11,Diamond 1,62 LP,469W,398L
2020-11-10 06:02:28.228910,T1: Hulksmash1337,10,0.10,Diamond 1,81 LP,470W,398L
2020-11-10 06:32:29.154876,T1: Hulksmash1337,10,0.10,Diamond 1,99 LP,471W,398L
2020-11-10 07:02:29.993885,T1: Hulksmash1337,10,0.09,Diamond 1,99 LP,471W,398L
2020-11-10 07:32:30.827069,T1: Hulksmash1337,10,0.09,Diamond 1,70 LP,471W,399L
2020-11-10 08:02:31.697534,T1: Hulksmash1337,10,0.10,Diamond 1,70 LP,471W,399L
2020-11-10 12:18:18.687906,T1: Hulksmash1337,10,0.10,Diamond 1,70 LP,471W,399L
2020-11-10 12:48:19.584067,T1: Hulksmash1337,10,0.10,Diamond 1,70 LP,471W,399L
2020-11-10 13:18:20.586455,T1: Hulksmash1337,10,0.10,Diamond 1,70 LP,471W,399L
2020-11-10 13:48:15.169335,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-10 14:18:16.134389,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-10 14:48:17.048879,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-10 15:18:17.961172,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-10 15:48:18.837512,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-10 16:18:19.561428,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-10 16:48:20.567946,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-10 17:18:21.450048,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-10 17:48:22.437404,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-10 18:18:23.079015,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-10 18:48:24.026097,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-10 19:18:24.873090,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-10 19:48:25.787135,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-10 20:18:26.791711,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-10 20:48:27.459856,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-10 21:18:28.335942,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-10 21:48:29.108946,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-10 22:18:29.663705,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-10 22:48:30.555945,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-10 23:18:31.322399,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-10 23:48:32.079052,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-11 00:18:32.960245,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-11 00:48:33.765951,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-11 01:18:34.575986,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-11 01:48:35.411074,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-11 02:18:36.227511,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-11 02:48:37.069727,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-11 03:18:37.910037,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-11 03:48:38.743310,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-11 04:18:39.582669,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-11 04:48:40.422512,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-11 05:18:41.293368,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-11 05:48:42.110922,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-11 06:18:42.931946,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-11 06:48:43.805870,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-11 07:18:44.858462,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-11 07:48:45.682302,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-11 08:18:46.533305,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-11 08:48:47.430978,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-11 09:18:48.044014,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-11 09:48:48.918028,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-11 10:18:49.731094,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-11 10:48:50.591453,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-11 11:18:51.411965,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-11 11:48:52.236178,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-11 12:18:53.087826,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-11 12:48:53.742370,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-11 13:18:54.589866,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-11 13:48:55.522846,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-11 14:18:58.597884,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-11 14:48:59.421875,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-11 15:19:00.272930,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-11 15:49:01.094155,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-11 16:19:01.932923,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-11 16:49:02.701931,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-11 17:19:03.536868,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-11 17:49:04.375598,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-11 18:19:05.139840,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-11 18:49:05.987495,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
